省,市,区,全名,别名,性质,等级
四川省,广元市,利州区,广元市第三人民医院,广元市人民医院  四川大学华西合作医院,公立/综合医院,二级甲等
四川省,广元市,利州区,广元市第四人民医院,广元市精神卫生中心,公立/综合医院,二级甲等
四川省,广元市,利州区,广元市市中区第二人民医院,广元市市中区第二人民医院,公立/综合医院,二级甲等
四川省,广元市,利州区,广元市第九人民医院,广元市第九人民医院,公立/综合医院,二级甲等
四川省,广元市,利州区,广元市第二人民医院,广元市急救中心,公立/综合医院,二级甲等
四川省,广元市,利州区,四川广元监狱医院,四川广元监狱医院,公立/综合医院,一级甲等
四川省,广元市,利州区,广元市四一零医院第三门诊部,广元市四一零医院第三门诊部,公立/综合医院,一级甲等
四川省,广元市,利州区,广元市四一零医院第二门诊部,广元市四一零医院第二门诊部,公立/综合医院,一级甲等
四川省,广元市,利州区,广元市中心医院,广元市人民医院,公立/综合医院,三级甲等　　
四川省,广元市,利州区,广元蜀康疼痛康复医院,广元蜀康医院,民营/专科医院,未知
四川省,广元市,利州区,广元济民外科医院,广元济民医院,民营/综合医院,未知
四川省,广元市,利州区,广元市八二一医院,广元八二一医院,民营/综合医院,民营医院
四川省,广元市,利州区,水电第五工程局中心医院,水电第五工程局中心医院,公立/综合医院,一级甲等
四川省,广元市,利州区,广元市直属机关医院,广元市直属机关医院,公立/综合医院,一级甲等
四川省,广元市,利州区,成都铁路分局广元铁路医院,成都铁路分局广元铁路医院,公立/综合医院,一级甲等
四川省,广元市,利州区,国营821厂职工医院,国营821厂职工医院,公立/综合医院,一级甲等
四川省,广元市,利州区,广元四一零医院,广元四一零医院,公立/综合医院,一级甲等
