省,市,区,全名,别名,性质,等级
四川省,广元市,旺苍县,旺苍县煤铁厂医院, 旺苍县煤铁厂医院,公立/综合医院,二级甲等
四川省,广元市,旺苍县,旺苍县陈家岭医院,旺苍县陈家岭医院,公立/综合医院,一级甲等
四川省,广元市,旺苍县,旺苍县妇幼保健院,旺苍县妇幼保健院,公立/妇幼保健医院,一级甲等
四川省,广元市,旺苍县,四川省川北监狱医院,四川省川北监狱医院,公立/综合医院,一级甲等
四川省,广元市,旺苍县,旺苍县人民医院,旺苍县人民医院,公立/综合医院,二级乙等
四川省,广元市,旺苍县,旺苍县德康医院,旺苍县德康医院,合资/综合医院,未知
四川省,广元市,旺苍县,旺苍县中医院,旺苍县中医院,公立/综合医院,二级甲等
四川省,广元市,旺苍县,旺苍县白水中心卫生院,旺苍县白水中心卫生院,公立/综合医院,一级甲等
四川省,广元市,旺苍县,旺苍县三江中心卫生院,旺苍县三江中心卫生院,公立/综合医院,一级甲等
四川省,广元市,旺苍县,旺苍县国华中心卫生院,旺苍县国华中心卫生院,公立/综合医院,一级甲等
四川省,广元市,旺苍县,广旺矿务局职工总医院,广旺矿务局职工总医院,公立/综合医院,一级甲等
