省,市,区,全名,别名,性质,等级
四川省,内江市,威远县,威远县第三医院,威远县第三医院,公立/综合医院,未知
四川省,内江市,威远县,威远县妇女儿童保健院,威远县妇女儿童保健院,公立/综合医院,未知
四川省,内江市,威远县,威远县中医院,威远县中医院,公立/综合医院,二级乙等
四川省,内江市,威远县,威远县人民医院,威远县人民医院,公立/综合医院,二级甲等
四川省,内江市,威远县,威远县妇幼保健院,威远县妇幼保健院,公立/妇幼保健医院,一级甲等
四川省,内江市,威远县,威远县第三人民医院,威远县第三人民医院,公立/综合医院,未知
四川省,内江市,威远县,威远县第二人民医院,威远县第二人民医院,公立/综合医院,二级乙等
四川省,内江市,威远县,威远县向义镇卫生院,威远县向义镇卫生院,公立/综合医院,一级甲等
四川省,内江市,威远县,威远县东联镇卫生院,威远县东联镇卫生院,公立/综合医院,一级甲等
四川省,内江市,威远县,威远县连界镇卫生院,威远县连界镇卫生院,公立/综合医院,一级甲等
四川省,内江市,威远县,威远县龙会中心卫生院,威远县龙会中心卫生院,公立/综合医院,一级甲等
四川省,内江市,威远县,威远县新场中心卫生院,威远县新场中心卫生院,公立/综合医院,一级乙等
四川省,内江市,威远县,威远县黄荆沟镇卫生院,威远县黄荆沟镇卫生院,公立/综合医院,一级乙等
四川省,内江市,威远县,威远县高石镇卫生院,威远县高石镇卫生院,公立/综合医院,一级乙等
四川省,内江市,威远县,威远县观英滩镇卫生院,威远县观英滩镇卫生院,公立/综合医院,一级甲等
四川省,内江市,威远县,威远县庆卫镇卫生院,威远县庆卫镇卫生院,公立/综合医院,一级乙等
四川省,内江市,威远县,威远县靖和镇卫生院,威远县靖和镇卫生院,公立/综合医院,一级乙等
四川省,内江市,威远县,威远县镇西镇卫生院,威远县镇西镇卫生院,公立/综合医院,一级甲等
