省,市,区,全名,别名,性质,等级
四川省,乐山市,沙湾区,乐山市市中区棉竹镇卫生院,乐山市市中区棉竹镇卫生院,公立/综合医院,一级甲等
四川省,乐山市,沙湾区,乐山市市中区土主镇中心卫生院,乐山市市中区土主镇中心卫生院,公立/综合医院,一级甲等
四川省,乐山市,沙湾区,乐山市市中区凌云乡卫生院,乐山市市中区凌云乡卫生院,公立/综合医院,一级甲等
四川省,乐山市,沙湾区,乐山市市中区童家镇卫生院,乐山市市中区童家镇卫生院,公立/综合医院,一级乙等
四川省,乐山市,沙湾区,乐山市中区茅桥人民医院,乐山市中区茅桥人民医院,公立/综合医院,一级甲等
四川省,乐山市,沙湾区,乐山市市中区白马镇卫生院,乐山市市中区白马镇卫生院,公立/综合医院,一级乙等
四川省,乐山市,沙湾区,乐山市市中区苏稽人民医院,乐山市市中区苏稽人民医院,公立/综合医院,二级乙等
四川省,乐山市,沙湾区,乐山市市中区水口镇卫生院,乐山市市中区水口镇卫生院,公立/综合医院,一级甲等
四川省,乐山市,沙湾区,乐山市市中区剑峰乡卫生院,乐山市市中区剑峰乡卫生院,公立/综合医院,一级乙等
四川省,乐山市,沙湾区,乐山市市中区牟子镇卫生院,乐山市市中区牟子镇卫生院,公立/综合医院,一级乙等
四川省,乐山市,沙湾区,乐山市市中区九龙乡卫生院,乐山市市中区九龙乡卫生院,公立/综合医院,一级甲等
四川省,乐山市,沙湾区,乐山市市中区车子镇卫生院,乐山市市中区车子镇卫生院,公立/综合医院,一级乙等
四川省,乐山市,沙湾区,乐山市市中区石龙乡卫生院,乐山市市中区石龙乡卫生院,公立/综合医院,一级甲等
四川省,乐山市,沙湾区,乐山市中区全福镇卫生院,乐山市中区全福镇卫生院,公立/综合医院,一级甲等
四川省,乐山市,沙湾区,乐山口腔医院,乐山口腔医院,民营/专科医院,民营医院
四川省,乐山市,沙湾区,乐山市沙湾区人民医院,乐山市沙湾区人民医院,公立/综合医院,二级乙等
四川省,乐山市,沙湾区,乐山市肿瘤医院,乐山市肿瘤医院,公立/专科医院,二级甲等
四川省,乐山市,沙湾区,乐山市中医院,乐山市中医院,公立/综合医院,三级甲等　　
四川省,乐山市,沙湾区,乐山市人民医院,乐山市人民医院,公立/综合医院,三级乙等
四川省,乐山市,沙湾区,水电部第七工程局职工医院,水电部第七工程局职工医院,公立/综合医院,一级甲等
