省,市,区,全名,别名,性质,等级
四川省,乐山市,市中区,济南乳腺病医院,山东省乳腺病医院,民营/专科医院,民营医院
四川省,乐山市,市中区,济南中医肝病医院,济南中医肝病医院,民营/专科医院,未知
四川省,乐山市,市中区,济南周围血管病医院,济南周围血管医院,民营/综合医院,未评级
四川省,乐山市,市中区,济南妇科医院,济南妇科医院,民营/专科医院,民营医院
四川省,乐山市,市中区,济南尖锐湿疣医院,济南北方尖锐湿疣医院,民营/专科医院,民营医院
四川省,乐山市,市中区,济南显微外科医院,济南显微外科医院肿瘤,其他/专科医院,未知
四川省,乐山市,市中区,济南友谊医院（民营）,济南友谊医院,个体户/综合医院,一级甲等
四川省,乐山市,市中区,枣庄市中区妇幼保健院,枣庄市中区妇幼保健院,公立/综合医院,一级甲等
四川省,乐山市,市中区,山东红十字会医院,红会福娃娃,公立/综合医院,二级甲等
四川省,乐山市,市中区,山东省警官总医院,山东省警官总医院,公立/综合医院,二级甲等
四川省,乐山市,市中区,山东省邮电医院,山东省邮电医院,公立/综合医院,二级甲等
四川省,乐山市,市中区,山东省劳改局中心医院,山东省劳改局中心医院,公立/综合医院,二级甲等
四川省,乐山市,市中区,济南市中医院,济南市中医院,公立/综合医院,三级甲等　　
四川省,乐山市,市中区,山东省眼科医院,山东省眼科医院,公立/专科医院,未知
四川省,乐山市,市中区,山东省中西医结合医院,山东省中西医结合医院,公立/综合医院,三级甲等　　
四川省,乐山市,市中区,济南市民族医院,济南市民族医院,公立/综合医院,一级甲等
四川省,乐山市,市中区,济南市偏瘫康复中心,济南爱心医院,民营/综合医院,未知
四川省,乐山市,市中区,山东东方男科医院,山东东方男科医院,民营/综合医院,未知
四川省,乐山市,市中区,济南协和医院,济南协和医院,民营/综合医院,未评级
四川省,乐山市,市中区,济宁东方中西医结合医院,济宁东方医院,民营/综合医院,未知
四川省,乐山市,市中区,济南肛肠医院,济南肛肠医院,民营/专科医院,未知
四川省,乐山市,市中区,山东施尔明眼科医院,山东中医药大学附属眼科医院,公立/专科医院,未知
四川省,乐山市,市中区,济南光明医院,济南光明医院,公立/综合医院,未知
四川省,乐山市,市中区,济南天坦医院,济南天坦医院,公立/综合医院,未知
四川省,乐山市,市中区,济南长城医院,济南长城医院,公立/综合医院,未知
四川省,乐山市,市中区,济南市结核病防治院,济南市结核病防治院,公立/综合医院,未知
四川省,乐山市,市中区,山东省石化医院山东省石油化学职业病防治研究所,山东省石化医院山东省石油化学职业病防治研究所,公立/综合医院,一级甲等
四川省,乐山市,市中区,济南市市中区人民医院,济南市市中区人民医院,公立/综合医院,二级乙等
四川省,乐山市,市中区,济南北方性病医院,济南北方皮肤病医院,民营/专科医院,未评级
四川省,乐山市,市中区,济南嘉乐不孕症医院,嘉乐不孕症医院,民营/专科医院,未知
四川省,乐山市,市中区,济南中医脉管炎医院,济南静脉曲张医院,民营/专科医院,民营医院
四川省,乐山市,市中区,山东红十字会医院,山东红会福娃娃,公立/综合医院,二级甲等
四川省,乐山市,市中区,济南市第八人民医院,济南脑血管病医院,公立/综合医院,二级甲等
四川省,乐山市,市中区,山东红十字会介入泌尿医院,山东红十字会介入泌尿医院,公立/综合医院,三级甲等　　
四川省,乐山市,市中区,山东医学科学院,山东医学科学院,公立/综合医院,一级甲等
四川省,乐山市,市中区,济南骨科医院,济南骨科医院,公立/专科医院,一级甲等
四川省,乐山市,市中区,山东施尔明眼科医院,施尔明眼科医院,公立/专科医院,三级甲等　　
四川省,乐山市,市中区,广元市中医院,广元市中医院,公立/综合医院,三级甲等　　
四川省,乐山市,市中区,广元市第一人民医院,四一0医院、四一零医院、410医院、072医院,公立/综合医院,三级甲等　　
四川省,乐山市,市中区,枣庄市立医院,济宁医学院附属枣庄市立医院,公立/综合医院,三级甲等　　
四川省,乐山市,市中区,济南军区一五Ｏ中心医院,济南军区一五Ｏ中心医院,公立/综合医院,一级甲等
四川省,乐山市,市中区,济南贝斯特口腔医院,济南贝斯特口腔医院,民营/专科医院,未知
四川省,乐山市,市中区,济南清华不孕不育医院,济南不孕不育医院_济南青华不孕不育医院,其他/专科医院,未知
