省,市,区,全名,别名,性质,等级
四川省,南充市,嘉陵区,嘉陵区妇幼保健院,嘉陵区妇幼保健院,公立/综合医院,未知
四川省,南充市,嘉陵区,南充市嘉陵区盐溪乡卫生院,南充市嘉陵区盐溪乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区安福镇卫生院,南充市嘉陵区安福镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区李渡中心卫生院,南充市嘉陵区李渡中心卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区集凤镇卫生院,南充市嘉陵区集凤镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,嘉陵区大通中心卫生院,嘉陵区大通中心卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区太和乡卫生院,南充市嘉陵区太和乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区土门乡卫生院,南充市嘉陵区土门乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区龙岭镇卫生院,南充市嘉陵区龙岭镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区礼乐乡卫生院,南充市嘉陵区礼乐乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区大兴乡卫生院,南充市嘉陵区大兴乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区安平中心卫生院,南充市嘉陵区安平中心卫生院,公立/综合医院,一级乙等
四川省,南充市,嘉陵区,南充市嘉陵区石楼乡卫生院,南充市嘉陵区石楼乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区河西乡卫生院,南充市嘉陵区河西乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区金凤中心卫生院,南充市嘉陵区金凤中心卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区桃园乡卫生院,南充市嘉陵区桃园乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,嘉陵区西兴中心卫生院,嘉陵区西兴中心卫生院,公立/综合医院,一级乙等
四川省,南充市,嘉陵区,南充市嘉陵区七宝寺镇卫生院,南充市嘉陵区七宝寺镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区文峰镇卫生院,南充市嘉陵区文峰镇卫生院,公立/综合医院,一级乙等
四川省,南充市,嘉陵区,南充市嘉陵区龙泉镇卫生院,南充市嘉陵区龙泉镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区曲水镇卫生院,南充市嘉陵区曲水镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区积善乡卫生院,南充市嘉陵区积善乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区移山乡卫生院,南充市嘉陵区移山乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区新庙乡卫生院,南充市嘉陵区新庙乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区桥龙乡卫生院,南充市嘉陵区桥龙乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区吉安镇卫生院,南充市嘉陵区吉安镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区双桂镇卫生院,南充市嘉陵区双桂镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区双店乡卫生院,南充市嘉陵区双店乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区华兴乡卫生院,南充市嘉陵区华兴乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区新场乡卫生院,南充市嘉陵区新场乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区白家乡卫生院,南充市嘉陵区白家乡卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,南充市嘉陵区里坝镇卫生院,南充市嘉陵区里坝镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,充市嘉陵区三会镇卫生院,充市嘉陵区三会镇卫生院,公立/综合医院,一级甲等
四川省,南充市,嘉陵区,武警8740部队医院,武警8740部队医院,公立/综合医院,一级甲等
