省,市,区,全名,别名,性质,等级
四川省,南充市,仪陇县,仪陇县柳垭中心卫生院,仪陇县柳垭中心卫生院,公立/综合医院,一级乙等
四川省,南充市,仪陇县,仪陇县日兴中心卫生院,仪陇县日兴中心卫生院,公立/综合医院,一级乙等
四川省,南充市,仪陇县,仪陇县武棚乡卫生院,仪陇县武棚乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县金城镇卫生院,仪陇县金城镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县新城卫生院,仪陇县新城卫生院,公立/综合医院,未知
四川省,南充市,仪陇县,仪陇县三河镇卫生院,仪陇县三河镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县化马卫生院,仪陇县化马卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县合作乡卫生院,仪陇县合作乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县铁山卫生院,仪陇县铁山卫生院,公立/综合医院,一级乙等
四川省,南充市,仪陇县,仪陇县灯塔乡卫生院,仪陇县灯塔乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县杨桥镇卫生院,仪陇县杨桥镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县芭蕉乡卫生院,仪陇县芭蕉乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县乐兴乡卫生院,仪陇县乐兴乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县永乐中心卫生院,仪陇县永乐中心卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县土门中心卫生院,仪陇县土门中心卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县大仪镇卫生院,仪陇县大仪镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县立山中心卫生院,仪陇县立山中心卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县岐山卫生院,仪陇县岐山卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县福临乡卫生院,仪陇县福临乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县永光乡卫生院,仪陇县永光乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县复兴中心卫生院,仪陇县复兴中心卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县新政镇社区卫生服务中心,仪陇县新政镇社区卫生服务中心,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县秋垭乡卫生院,仪陇县秋垭乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县铜鼓乡卫生院,仪陇县铜鼓乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县石佛乡卫生院,仪陇县石佛乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县义路镇卫生院,仪陇县义路镇卫生院,公立/综合医院,一级乙等
四川省,南充市,仪陇县,仪陇县双庆乡卫生院,仪陇县双庆乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县保平镇卫生院,仪陇县保平镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县大寅中心卫生院,仪陇县大寅中心卫生院,公立/综合医院,一级乙等
四川省,南充市,仪陇县,仪陇县马鞍中心卫生院,仪陇县马鞍中心卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县九龙乡卫生院,仪陇县九龙乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县环山卫生院,仪陇县环山卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县大罗乡卫生院,仪陇县大罗乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县双胜镇卫生院,仪陇县双胜镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县瓦子镇卫生院,仪陇县瓦子镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县先锋镇卫生院,仪陇县先锋镇卫生院,公立/综合医院,一级乙等
四川省,南充市,仪陇县,仪陇县新政中心卫生院,仪陇县新政中心卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县果山卫生院,仪陇县果山卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县大风乡卫生院,仪陇县大风乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县三蛟镇卫生院,仪陇县三蛟镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县丁字桥镇卫生院,仪陇县丁字桥镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县观紫中心卫生院,仪陇县观紫中心卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县来苏卫生院,仪陇县来苏卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县板桥乡卫生院,仪陇县板桥乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县柴井乡卫生院,仪陇县柴井乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县凤仪乡卫生院,仪陇县凤仪乡卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县度门镇卫生院,仪陇县度门镇卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县马路卫生院,仪陇县马路卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县恩德卫生院,仪陇县恩德卫生院,公立/综合医院,一级甲等
四川省,南充市,仪陇县,仪陇县妇幼保健院,仪陇县妇幼保健院,公立/综合医院,未知
四川省,南充市,仪陇县,仪陇县中医院,仪陇县中医院,公立/综合医院,二级乙等
四川省,南充市,仪陇县,仪陇县人民医院,仪陇县人民医院,公立/综合医院,二级甲等
