省,市,区,全名,别名,性质,等级
四川省,宜宾市,翠屏区,宜宾市第三人民医院,宜宾市第三人民医院,其他/综合医院,未知
四川省,宜宾市,翠屏区,国营第七九九厂职工医院,国营第七九九厂职工医院,公立/综合医院,一级甲等
四川省,宜宾市,翠屏区,宜宾市翠屏区人民医院,宜宾市翠屏区人民医院,公立/综合医院,未知
四川省,宜宾市,翠屏区,宜宾市第三人民医院宜宾市翠屏区人民医院,宜宾市第三人民医院宜宾市翠屏区人民医院,公立/综合医院,二级乙等
四川省,宜宾市,翠屏区,宜宾蜀南医院,宜宾蜀南医院,民营/综合医院,二级乙等
四川省,宜宾市,翠屏区,宜宾华肤皮肤病医院,宜宾皮肤病医院,其他/专科医院,二级甲等
四川省,宜宾市,翠屏区,宜宾市翠屏区妇幼保健院,宜宾市翠屏区妇幼保健院,公立/综合医院,一级甲等
四川省,宜宾市,翠屏区,宜宾市第二人民医院,宜宾市第二人民医院,公立/综合医院,三级甲等　　
四川省,宜宾市,翠屏区,宜宾市中医院,宜宾市中医院,公立/综合医院,二级甲等
四川省,宜宾市,翠屏区,宜宾市工人医院,宜宾市工人医院,公立/综合医院,二级甲等
四川省,宜宾市,翠屏区,宜宾市第一人民医院,宜宾市第一人民医院,公立/综合医院,三级甲等　　
四川省,宜宾市,翠屏区,宜宾男健专科医院,宜宾男健医院,合资/专科医院,未评级
