省,市,区,全名,别名,性质,等级
四川省,眉山市,东坡区,眉山市东坡区万胜中心卫生院,眉山市东坡区万胜中心卫生院,公立/综合医院,一级甲等
四川省,眉山市,东坡区,东坡区思蒙中心卫生院,眉山市东坡区精神病医院,公立/综合医院,一级甲等
四川省,眉山市,东坡区,眉山市东坡区太和中心卫生院,眉山市东坡区太和中心卫生院,公立/综合医院,一级甲等
四川省,眉山市,东坡区,眉山市东坡区多悦中心卫生院,眉山市东坡区多悦中心卫生院,公立/综合医院,一级甲等
四川省,眉山市,东坡区,眉山市东坡区永寿中心卫生院,眉山市东坡区永寿中心卫生院,公立/综合医院,一级甲等
四川省,眉山市,东坡区,眉山市东坡区悦兴镇卫生院,眉山市东坡区悦兴镇卫生院,公立/综合医院,一级甲等
四川省,眉山市,东坡区,眉山红十字医院,眉山红十字医院,公立/综合医院,一级甲等
四川省,眉山市,东坡区,眉山三医院,眉山肿瘤医院,公立/综合医院,二级乙等
四川省,眉山市,东坡区,眉山市妇幼保健院,眉山市妇女儿童医院,公立/综合医院,二级乙等
四川省,眉山市,东坡区,眉山中铁医院,眉山妇产科医院,公立/综合医院,二级乙等
四川省,眉山市,东坡区,眉山华美妇科医院,眉山华美医院,民营/专科医院,民营医院
四川省,眉山市,东坡区,眉山市东坡区精神病医院,眉山市东坡区精神病医院,公立/综合医院,未知
四川省,眉山市,东坡区,眉山市东坡区妇幼保健院,眉山市东坡区妇幼保健院,公立/妇幼保健医院,一级甲等
四川省,眉山市,东坡区,眉山市东坡区计划生育服务站,眉山计生站,公立/专科医院,未评级
四川省,眉山市,东坡区,眉山健民医院,健民医院,民营/综合医院,民营医院
四川省,眉山市,东坡区,眉山东方医院,眉山东方医院,民营/综合医院,民营医院
四川省,眉山市,东坡区,眉山车辆厂职工医院,眉山车辆厂职工医院,公立/综合医院,一级甲等
