省,市,区,全名,别名,性质,等级
四川省,眉山市,彭山县,彭山县义和乡卫生院,彭山县义和乡卫生院,公立/综合医院,一级甲等
四川省,眉山市,彭山县,彭山县江口镇第二卫生院,彭山县江口镇第二卫生院,公立/综合医院,一级甲等
四川省,眉山市,彭山县,彭山县锦江乡第二卫生院,彭山县锦江乡第二卫生院,公立/综合医院,一级乙等
四川省,眉山市,彭山县,彭山县黄丰镇卫生院,彭山县黄丰镇卫生院,公立/综合医院,一级甲等
四川省,眉山市,彭山县,彭山县谢家镇第二卫生院,彭山县谢家镇第二卫生院,公立/综合医院,一级甲等
四川省,眉山市,彭山县,彭山县牧马镇第二卫生院,彭山县牧马镇第二卫生院,公立/综合医院,一级乙等
四川省,眉山市,彭山县,彭山县凤鸣镇卫生院,彭山县凤鸣镇卫生院,公立/综合医院,一级甲等
四川省,眉山市,彭山县,彭山县锦江乡卫生院,彭山县锦江乡卫生院,公立/综合医院,一级甲等
四川省,眉山市,彭山县,彭山县观音镇卫生院,彭山县观音镇卫生院,公立/综合医院,一级乙等
四川省,眉山市,彭山县,彭山县保健院,彭山县保健院,公立/综合医院,未知
四川省,眉山市,彭山县,彭山县中医院,彭山县中医院,公立/综合医院,未知
四川省,眉山市,彭山县,彭山县人民医院,彭山县人民医院,公立/综合医院,二级乙等
四川省,眉山市,彭山县,彭山县妇幼保健院,彭山县妇幼保健院,公立/妇幼保健医院,未知
