省,市,区,全名,别名,性质,等级
贵州省,贵阳市,南明区,贵阳利美康医院,贵阳利美康医院,个体户/综合医院,一级甲等
贵州省,贵阳市,南明区,贵州省中山医院,贵州省中山医院,公立/综合医院,二级乙等
贵州省,贵阳市,南明区,贵州白癜风皮肤病医院,贵州白癜风医院,其他/专科医院,未评级
贵州省,贵阳市,南明区,中国建筑四局职工医院,中国建筑四局职工医院,公立/综合医院,一级甲等
贵州省,贵阳市,南明区,贵阳皮肤病专科医院贵阳国济皮肤性病研究所（民营）,贵阳皮肤病专科医院贵阳国济皮肤性病研究所（民营）,个体户/综合医院,一级甲等
贵州省,贵阳市,南明区,中国人民解放军总后勤部第八职工医院,中国人民解放军总后勤部第八职工医院,公立/综合医院,一级甲等
贵州省,贵阳市,南明区,贵阳医学院附属南华医院,贵阳南华医院,公立/综合医院,未评级
贵州省,贵阳市,南明区,贵州省红十字会妇女儿童医院,贵阳妇女儿童医院,公立/专科医院,一级甲等
贵州省,贵阳市,南明区,贵阳颈腰痛专科医院,贵阳颈腰痛专科医院,公立/专科医院,未知
贵州省,贵阳市,南明区,贵州省司法警察医院,贵州省司法警察医院,公立/综合医院,未知
贵州省,贵阳市,南明区,贵州省汽车改装工业公司职工医院,贵州省汽车改装工业公司职工医院,公立/综合医院,未知
贵州省,贵阳市,南明区,贵州省建筑职工医院,贵州省建筑职工医院,公立/综合医院,未知
贵州省,贵阳市,南明区,贵州退休医师医院,贵州贵阳退休医师医院,其他/综合医院,未知
贵州省,贵阳市,南明区,贵阳仁爱康复医院,贵阳仁爱康复医院,民营/综合医院,未知
贵州省,贵阳市,南明区,贵阳奇通恒博医院,贵阳奇通恒博医院,民营/综合医院,未知
贵州省,贵阳市,南明区,贵阳铭依楼医院,贵阳铭依楼医院,民营/综合医院,未知
贵州省,贵阳市,南明区,贵阳眼科医院,贵阳眼科医院,民营/综合医院,未知
贵州省,贵阳市,南明区,贵阳华烽电器总厂职工医院,贵阳华烽电器总厂职工医院,公立/综合医院,未知
贵州省,贵阳市,南明区,贵州省南岳医院,贵州省南岳医院,公立/综合医院,未知
贵州省,贵阳市,南明区,贵阳正宇铁路医院,贵阳正宇铁路医院,公立/综合医院,未知
贵州省,贵阳市,南明区,贵阳求恩百姓综合医院,贵阳求恩百姓综合医院,公立/综合医院,未知
贵州省,贵阳市,南明区,贵阳市肺科医院,贵阳市肺科医院,公立/综合医院,二级甲等
贵州省,贵阳市,南明区,贵阳市妇幼保健院,贵阳市妇幼保健院,公立/综合医院,三级甲等　　
贵州省,贵阳市,南明区,贵阳市第一人民医院,贵州省立医院,公立/综合医院,三级甲等　　
贵州省,贵阳市,南明区,贵阳协和医院,贵阳协和医院,民营/综合医院,未知
贵州省,贵阳市,南明区,贵阳利美康医院,贵阳利美康医院,民营/综合医院,未知
贵州省,贵阳市,南明区,贵州省骨科医院,贵州省骨科医院,公立/专科医院,三级甲等　　
贵州省,贵阳市,南明区,贵阳市第三人民医院,贵阳市第三人民医院,公立/综合医院,二级甲等
贵州省,贵阳市,南明区,贵阳市第二人民医院,贵阳市第二人民医院,公立/综合医院,二级甲等
贵州省,贵阳市,南明区,贵州铝厂职工医院,贵州铝厂职工医院,公立/综合医院,一级甲等
贵州省,贵阳市,南明区,贵阳铭依楼医院,名医楼医院,民营/专科医院,民营医院
贵州省,贵阳市,南明区,贵阳美贝尔医疗美容医院,贵阳美贝尔医疗美容医院,其他/其他,未知
贵州省,贵阳市,南明区,贵阳皮肤病专科医院,贵阳皮肤病性病研究所,民营/专科医院,未知
贵州省,贵阳市,南明区,贵州省红十字会医院眼科中心,贵州省红十字会医院眼科中心,公立/综合医院,未知
贵州省,贵阳市,南明区,贵阳市第六人民医院,贵阳铁路医院,公立/综合医院,二级甲等
贵州省,贵阳市,南明区,贵州电力职工医院,贵州电力职工医院,公立/综合医院,二级甲等
贵州省,贵阳市,南明区,贵阳市南明区人民医院,贵阳南明区医院,公立/综合医院,二级甲等
贵州省,贵阳市,南明区,贵阳市口腔医院,贵阳口腔病防治院,公立/专科医院,三级甲等　　
贵州省,贵阳市,南明区,贵阳铁路医院,贵阳铁路医院,公立/综合医院,一级甲等
贵州省,贵阳市,南明区,贵阳中医脑康医院,贵阳脑康医院,其他/专科医院,未知
贵州省,贵阳市,南明区,贵阳中康皮肤病医院,贵阳中康皮肤病医院,民营/专科医院,未知
贵州省,贵阳市,南明区,贵州军区贵阳白癜风专科医院,贵州省军区白癜风专科医院,公立/综合医院,未评级
贵州省,贵阳市,南明区,贵州利美康妇科医院,贵州利美康妇科医院,民营/专科医院,民营医院
贵州省,贵阳市,南明区,贵阳东大肛肠专科医院,贵阳东大,其他/专科医院,二级甲等
贵州省,贵阳市,南明区,贵阳耳鼻喉医院,贵阳耳鼻喉医院,民营/专科医院,二级甲等
贵州省,贵阳市,南明区,贵阳军康医院,贵阳军康医院,民营/综合医院,未知
贵州省,贵阳市,南明区,贵阳中医皮肤病医院,贵阳皮肤病专科医院,其他/专科医院,未知
贵州省,贵阳市,南明区,贵阳结石病医院,贵阳结石病医院,其他/专科医院,未知
贵州省,贵阳市,南明区,贵州晶朗眼科医院,晶朗眼科医院,民营/专科医院,未知
贵州省,贵阳市,南明区,贵阳林城医院,贵州癫痫病医院,其他/综合医院,二级甲等
贵州省,贵阳市,南明区,贵阳阿波罗男科医院,南明阿波罗医院,民营/专科医院,民营医院
贵州省,贵阳市,南明区,贵阳东大肛肠医院,贵阳东大肛肠医院,民营/专科医院,未知
