省,市,区,全名,别名,性质,等级
贵州省,安顺市,西秀区,安顺市妇幼保健院,安顺市妇幼保健院,公立/综合医院,二级甲等
贵州省,安顺市,西秀区,贵州安顺七十三医院,贵州安顺七十三医院,公立/综合医院,二级甲等
贵州省,安顺市,西秀区,安顺地区妇幼保健所,安顺地区妇幼保健所,公立/综合医院,二级甲等
贵州省,安顺市,西秀区,安顺地区人民医院,安顺地区人民医院,公立/综合医院,三级乙等
贵州省,安顺市,西秀区,安顺市医院,安顺市医院,公立/综合医院,三级甲等　　
贵州省,安顺市,西秀区,贵航集团三Ｏ二医院,贵航集团三Ｏ二医院,公立/综合医院,一级甲等
贵州省,安顺市,西秀区,安顺市西秀区中医院,安顺市西秀区中医院,公立/中医医院,未知
贵州省,安顺市,西秀区,安顺市西秀区第二人民医院,安顺市西秀区第二人民医院,公立/综合医院,未知
贵州省,安顺市,西秀区,贵州省七十三医院,贵州省七十三医院,公立/综合医院,一级甲等
贵州省,安顺市,西秀区,中国贵航集团302医院,中国贵航集团302医院,公立/综合医院,一级甲等
贵州省,安顺市,西秀区,贵航集团三0二医院,贵航集团三0二医院,公立/综合医院,一级甲等
