省,市,区,全名,别名,性质,等级
贵州省,毕节,毕节市,毕节和美妇产医院,毕节和美医院,民营/专科医院,未评级
贵州省,毕节,毕节市,毕节仁济医院,毕节仁济医院,民营/综合医院,未知
贵州省,毕节,毕节市,贵州市博爱医院,贵州市博爱医院,公立/综合医院,未知
贵州省,毕节,毕节市,毕节市山城精神病院,毕节市山城精神病院,公立/综合医院,未知
贵州省,毕节,毕节市,毕节市博爱医院,毕节市博爱医院,民营/综合医院,未知
贵州省,毕节,毕节市,毕节市精神病院,毕节市精神病院,公立/综合医院,未知
贵州省,毕节,毕节市,毕节市撒拉溪医院,毕节市撒拉溪医院,公立/综合医院,未知
贵州省,毕节,毕节市,毕节市中医院,毕节市中医院,公立/综合医院,未知
贵州省,毕节,毕节市,毕节地区中医院,毕节地区中医院,公立/综合医院,二级甲等
贵州省,毕节,毕节市,毕节地区医院,毕节地区医院,公立/综合医院,二级甲等
贵州省,毕节,毕节市,毕节地区精神病康复医院,毕节地区精神病康复医院,公立/综合医院,二级甲等
贵州省,毕节,毕节市,毕节友谊医院,毕节友谊医院,其他/综合医院,未知
贵州省,毕节,毕节市,毕节欧亚医院,毕节欧亚,民营/综合医院,未知
