省,市,区,全名,别名,性质,等级
贵州省,黔东南州,凯里市,黔东南华美医院,黔东南华美医院,合资/综合医院,一级甲等
贵州省,黔东南州,凯里市,贵阳医学院第二附属医院,贵州省418医院,公立/综合医院,三级甲等　　
贵州省,黔东南州,凯里市,黔东南欧亚男健医院,凯里欧亚医院,民营/综合医院,未评级
贵州省,黔东南州,凯里市,黔东南州人民医院,黔东南州人民医院,公立/综合医院,一级甲等
贵州省,黔东南州,凯里市,黔东南州妇幼保健院,黔东南州妇幼保健院,公立/综合医院,一级甲等
贵州省,黔东南州,凯里市,黔东南州中医院,黔东南州中西医结合医院,公立/综合医院,二级甲等
贵州省,黔东南州,凯里市,凯里市妇幼保健院,凯里市妇幼保健院,公立/综合医院,未知
贵州省,黔东南州,凯里市,凯里市第二人民医院,凯里市第二人民医院,公立/综合医院,未知
贵州省,黔东南州,凯里市,凯里市第一人民医院,凯里市第一人民医院,公立/综合医院,二级乙等
贵州省,黔东南州,凯里市,凯里铁路医院,凯里铁路医院,公立/综合医院,二级甲等
贵州省,黔东南州,凯里市,黔东南恒生医院,凯里恒生男科医院州重点男科,公立/综合医院,一级甲等
