省,市,区,全名,别名,性质,等级
云南省,昆明市,盘龙区,昆明延安医院,杰西艾整形美容医院,公立/综合医院,三级甲等　　
云南省,昆明市,盘龙区,春城荣军古楼医院,春城荣军古楼医院,外资/专科医院,一级甲等
云南省,昆明市,盘龙区,昆明肝病医院,昆明华亚肝病医学科学研究院,公立/综合医院,二级甲等
云南省,昆明市,盘龙区,云南九洲医院,云南九洲生殖泌尿专科医院,民营/综合医院,二级甲等
云南省,昆明市,盘龙区,春城荣军古楼医院,春城荣军古楼医院,外资/专科医院,未知
云南省,昆明市,盘龙区,昆明疼痛医院,昆明疼痛医院,合资/专科医院,未知
云南省,昆明市,盘龙区,昆明南方医院,云南南方民族医院,民营/综合医院,未知
云南省,昆明市,盘龙区,云南妇女儿童医院,云南妇女儿童医院,民营/专科医院,未知
云南省,昆明市,盘龙区,云南玛莉亚医院,云南玛莉亚女子医院,合资/综合医院,未知
云南省,昆明市,盘龙区,云南昆明国济医院,云南昆明国济医院,民营/综合医院,未知
云南省,昆明市,盘龙区,昆明明珠医院,昆明明珠医院,民营/综合医院,未知
云南省,昆明市,盘龙区,昆明友谊医院,昆明友谊口腔医院,民营/综合医院,未知
云南省,昆明市,盘龙区,昆明泌尿专科医院,昆明泌尿专科医院,民营/专科医院,一级乙等
云南省,昆明市,盘龙区,云南妇科泌尿专科医院,云南妇科泌尿专科医院,民营/专科医院,一级甲等
云南省,昆明市,盘龙区,昆明市盘龙区红十字会医院,昆明市盘龙区红十字会医院,公立/综合医院,一级甲等
云南省,昆明市,盘龙区,云南省监狱管理局中心医院,云南省监狱管理局中心医院,公立/综合医院,一级甲等
云南省,昆明市,盘龙区,昆明市盘龙区长春医院,昆明市盘龙区长春医院,公立/综合医院,一级甲等
云南省,昆明市,盘龙区,昆明市盘龙区妇幼保健所,昆明市盘龙区妇幼保健所,公立/综合医院,一级甲等
云南省,昆明市,盘龙区,昆明新华医院,昆明新华医院,公立/综合医院,一级甲等
云南省,昆明市,盘龙区,云南国泰医院,云南国泰医院,民营/综合医院,一级甲等
云南省,昆明市,盘龙区,云南省林业中西医结合医院,云南省林业中西医结合医院,公立/综合医院,一级甲等
云南省,昆明市,盘龙区,昆明妇科泌尿专科医院,昆明妇科泌尿专科医院,民营/专科医院,未知
云南省,昆明市,盘龙区,爱尔口腔医院,爱尔口腔医院,民营/专科医院,二级乙等
云南省,昆明市,盘龙区,昆明万华医院,昆明万华医院,民营/综合医院,二级乙等
云南省,昆明市,盘龙区,云南省精神病院,云南省精神病院,公立/综合医院,二级甲等
云南省,昆明市,盘龙区,昆明冶金职业病防治院,昆明冶金职业病防治院,公立/综合医院,二级甲等
