省,市,区,全名,别名,性质,等级
云南省,曲靖市,宣威市,云南云峰化学工业公司职工医院,云南云峰化学工业公司职工医院,公立/综合医院,一级甲等
云南省,曲靖市,宣威市,宣威宣德医院,宣德医院,民营/专科医院,未评级
云南省,曲靖市,宣威市,云南省来宾煤矿职工医院,云南省来宾煤矿职工医院,公立/综合医院,未知
云南省,曲靖市,宣威市,云南省羊场煤矿职工医院,云南省羊场煤矿职工医院,公立/综合医院,未知
云南省,曲靖市,宣威市,宣威市中医院,宣威市中医院,公立/综合医院,未知
云南省,曲靖市,宣威市,宣威市人民医院,宣威市人民医院,公立/综合医院,未知
云南省,曲靖市,宣威市,宣威市交通医院,宣威市交通医院,公立/综合医院,一级甲等
云南省,曲靖市,宣威市,宣威市妇幼保健站,宣威市妇幼保健站,公立/综合医院,一级甲等
云南省,曲靖市,宣威市,宣威锦森康复医院,宣威锦森康复医院,民营/综合医院,一级甲等
云南省,曲靖市,宣威市,宣威精神病专科医院,宣威精神病专科医院,民营/综合医院,一级甲等
云南省,曲靖市,宣威市,宣威市精神病专科医院,宣威市精神病专科医院,民营/综合医院,一级甲等
云南省,曲靖市,宣威市,云南省田坝煤矿职工医院,云南省田坝煤矿职工医院,公立/综合医院,二级乙等
云南省,曲靖市,宣威市,宣威市来宾医院,宣威市来宾医院,公立/综合医院,未知
