省,市,区,全名,别名,性质,等级
云南省,文山州,文山县,文山州人民医院,文山州人民医院,公立/综合医院,三级甲等　　
云南省,文山州,文山县,文山新城骨科医院（民营）,文山新城骨科医院,个体户/骨科医院,未知
云南省,文山州,文山县,文山市人民医院,文山市人民医院,公立/综合医院,三级乙等
云南省,文山州,文山县,云南省文山壮族苗族自治州中医院,云南省文山壮族苗族自治州中医院,公立/综合医院,三级乙等
云南省,文山州,文山县,文山县人民医院,文山县人民医院,公立/综合医院,二级甲等
云南省,文山州,文山县,文山壮族苗族自治州妇幼保健院,文山壮族苗族自治州妇幼保健院,公立/妇幼保健医院,未知
云南省,文山州,文山县,文山男科医院（民营）,文山男科医院,个体户/综合医院,未知
云南省,文山州,文山县,文山州中医院,文山州中医院,公立/综合医院,三级乙等
云南省,文山州,文山县,文山州妇幼保健院,文山州妇幼保健院,公立/妇幼保健医院,未知
云南省,文山州,文山县,文山州下沙坝精神病院,文山州下沙坝精神病院,公立/综合医院,未知
云南省,文山州,文山县,文山壮族苗族自治州中医医院,文山壮族苗族自治州中医医院,公立/综合医院,三级乙等
云南省,文山州,文山县,文山县精神康复医院,文山县精神康复医院,公立/综合医院,未知
云南省,文山州,文山县,中国人民解放军第六十七中心医院,中国人民解放军第六十七中心医院,公立/综合医院,一级甲等
云南省,文山州,文山县,文山县妇幼保健院,文山县妇幼保健院,公立/妇幼保健医院,未知
云南省,文山州,文山县,文山五官专科医院（民营）,文山五官专科医院（民营）,公立/综合医院,一级甲等
