省,市,区,全名,别名,性质,等级
云南省,西双版纳,景洪市,西双版纳长征医院,景洪长征医院,民营/综合医院,未评级
云南省,西双版纳,景洪市,西双版纳九洲医院,景洪九洲医院,公立/综合医院,民营医院
云南省,西双版纳,景洪市,景洪国荣傣医院,西双版纳国荣傣医院,民营/综合医院,未知
云南省,西双版纳,景洪市,西双版纳傣族自治州傣医院,西双版纳傣族自治州傣医院,公立/综合医院,一级甲等
云南省,西双版纳,景洪市,西双版纳州人民医院,西双版纳傣族自治州人民医院,公立/综合医院,三级甲等　　
云南省,西双版纳,景洪市,西双版纳傣族自治州人民医院,西双版纳傣族自治州人民医院,公立/综合医院,一级甲等
云南省,西双版纳,景洪市,景洪博爱医院,博爱医院,民营/综合医院,民营医院
云南省,西双版纳,景洪市,西双版纳州东风农场职工医院,西双版纳州东风农场职工医院,公立/综合医院,一级甲等
云南省,西双版纳,景洪市,西双版纳州妇幼保健院,西双版纳州妇幼保健院,公立/综合医院,一级甲等
云南省,西双版纳,景洪市,同仁医院,同仁医院,民营/综合医院,未知
云南省,西双版纳,景洪市,景洪市中医傣医院,景洪市中医傣医院,公立/综合医院,一级甲等
云南省,西双版纳,景洪市,景洪市人民医院,景洪市人民医院,公立/综合医院,二级乙等
云南省,西双版纳,景洪市,景洪市妇幼保健站,景洪市妇幼保健站,公立/综合医院,二级甲等
云南省,西双版纳,景洪市,云南省农垦总局第一职工医院,云南省农垦总局第一职工医院,公立/综合医院,二级甲等
