省,市,区,全名,别名,性质,等级
云南省,楚雄州,楚雄市,楚雄彝族自治州精神病医院,楚雄彝族自治州精神病医院,公立/综合医院,未知
云南省,楚雄州,楚雄市,深圳郑文友肿瘤医院楚雄医院（民营）,深圳郑文友肿瘤医院楚雄医院,公立/综合医院,一级甲等
云南省,楚雄州,楚雄市,楚雄州精神病医院,楚雄州精神病医院,公立/综合医院,未知
云南省,楚雄州,楚雄市,楚雄市妇幼保健院,楚雄市妇幼保健院,公立/综合医院,未知
云南省,楚雄州,楚雄市,楚雄市人民医院,楚雄市人民医院,公立/综合医院,二级乙等
云南省,楚雄州,楚雄市,楚雄市同仁医院,楚雄市同仁医院,民营/综合医院,二级乙等
云南省,楚雄州,楚雄市,楚雄市中医院,楚雄市中医院北埔医院,公立/综合医院,二级甲等
云南省,楚雄州,楚雄市,楚雄州妇幼保健站,楚雄州妇幼保健站,公立/综合医院,二级甲等
云南省,楚雄州,楚雄市,楚雄州人民医院楚雄州红十字会医院,楚雄州人民医院楚雄州红十字会医院,公立/综合医院,三级乙等
云南省,楚雄州,楚雄市,楚雄州人民医院,楚雄州人民医院,公立/综合医院,三级乙等
云南省,楚雄州,楚雄市,楚雄州中医院,楚雄州中医院,公立/综合医院,三级乙等
云南省,楚雄州,楚雄市,楚雄曙光医院,楚雄曙光医院,合资/综合医院,未知
云南省,楚雄州,楚雄市,楚雄彝族自治州妇幼保健院,楚雄彝族自治州妇幼保健院,公立/妇幼保健医院,二级甲等
云南省,楚雄州,楚雄市,楚雄交通医院,楚雄男科医院,民营/专科医院,民营医院
云南省,楚雄州,楚雄市,楚雄友好医院,楚雄男科（妇科）医院,民营/综合医院,民营医院
云南省,楚雄州,楚雄市,楚雄现代妇产医院,楚雄现代妇产,民营/专科医院,未评级
云南省,楚雄州,楚雄市,楚雄博爱医院,楚雄博爱医院,民营/综合医院,未知
云南省,楚雄州,楚雄市,楚雄玛俐亚妇科医院,楚雄玛俐亚,民营/专科医院,未知
云南省,楚雄州,楚雄市,楚雄市东华中心卫生院,楚雄市东华中心卫生院,公立/综合医院,一级甲等
云南省,楚雄州,楚雄市,楚雄民康医院,楚雄民康医院,民营/综合医院,二级乙等
